taxon	locus	pi1	pi2
negros-panay_sw	locus16	0.0	0.0
caluya-camiguin_sur	locus17	0.0	0.0
lubang-mindoro_n	locus17	0.0	0.0
maestre_de_campo-mindoro_s	locus17	0.0	0.0
masbate-panay_ne	locus17	0.0	0.0
negros-panay_sw	locus17	0.0	0.0
caluya-camiguin_sur	locus18	0.0	0.0
lubang-mindoro_n	locus18	0.0	0.0
maestre_de_campo-mindoro_s	locus18	0.0	0.0
masbate-panay_ne	locus18	0.0	0.0
negros-panay_sw	locus18	0.0	0.0043956043956
caluya-camiguin_sur	locus19	0.0	0.0
lubang-mindoro_n	locus19	0.0	0.0
maestre_de_campo-mindoro_s	locus19	0.0	0.0
masbate-panay_ne	locus19	0.0	0.0
negros-panay_sw	locus19	0.0	0.0
caluya-camiguin_sur	locus20	0.0	0.0
lubang-mindoro_n	locus20	0.0	0.0
maestre_de_campo-mindoro_s	locus20	0.0	0.0077519379845
masbate-panay_ne	locus20	0.0	0.0
negros-panay_sw	locus20	0.0	0.0
caluya-camiguin_sur	locus21	0.0	0.0
lubang-mindoro_n	locus21	0.0	0.0
maestre_de_campo-mindoro_s	locus21	0.0	0.0
masbate-panay_ne	locus21	0.0	0.0
negros-panay_sw	locus21	0.0	0.0
caluya-camiguin_sur	locus22	0.0	0.0
lubang-mindoro_n	locus22	0.0	0.0
maestre_de_campo-mindoro_s	locus22	0.0	0.0
masbate-panay_ne	locus22	0.0	0.0
negros-panay_sw	locus22	0.0	0.0
caluya-camiguin_sur	locus23	0.0	0.0
lubang-mindoro_n	locus23	0.0	0.0
maestre_de_campo-mindoro_s	locus23	0.0	0.0
masbate-panay_ne	locus23	0.0	0.0
negros-panay_sw	locus23	0.0	0.0
caluya-camiguin_sur	locus24	0.0	0.0
lubang-mindoro_n	locus24	0.0	0.0
maestre_de_campo-mindoro_s	locus24	0.0	0.0
masbate-panay_ne	locus24	0.0	0.00625
negros-panay_sw	locus24	0.0	0.0
caluya-camiguin_sur	locus25	0.0	0.0
lubang-mindoro_n	locus25	0.0	0.0
maestre_de_campo-mindoro_s	locus25	0.0	0.0
masbate-panay_ne	locus25	0.0	0.0
negros-panay_sw	locus25	0.0	0.0
caluya-camiguin_sur	locus26	0.0	0.0
lubang-mindoro_n	locus26	0.0	0.0
maestre_de_campo-mindoro_s	locus26	0.0	0.0
masbate-panay_ne	locus26	0.0	0.0
negros-panay_sw	locus26	0.0	0.0
caluya-camiguin_sur	locus27	0.0	0.0
lubang-mindoro_n	locus27	0.0	0.0
maestre_de_campo-mindoro_s	locus27	0.0	0.0
masbate-panay_ne	locus27	0.0	0.0
negros-panay_sw	locus27	0.0	0.0
