catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	extract	date	source
		LSUHC	6967	Gekko	monarchus	Malaysia	Pahang	True		gekkonid_lab_work.txt
KU	320358	CDS	3632	Gekko	gecko	Philippines	Negros	False		ku_gekkonid_tissues.txt
KU	320356	CDS	3630	Gekko	gecko	Philippines	Negros	False		ku_gekkonid_tissues.txt
KU	320357	CDS	3631	Gekko	gecko	Philippines	Negros	False		ku_gekkonid_tissues.txt
KU	305538	CWL	579	Cosymbotus	platyurus	Philippines	Luzon	False	2006-07-14	ku_gekkonid_tissues.txt
KU	291261	JES	2390	Phyllodactylus	tuberculosus	El salvador		False	2001-05-22	ku_gekkonid_tissues.txt
KU	303934	RMB	5491	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303933	RMB	5490	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303936	RMB	5493	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303935	RMB	5492	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303938	RMB	5495	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303937	RMB	5494	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303940	RMB	5497	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303939	RMB	5496	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303942	RMB	5499	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	303941	RMB	5498	Gekko	mindorensis	Philippines	Lubang	False	2005-12-10	ku_gekkonid_tissues.txt
KU	305525	CDS	2099	Cosymbotus	platyurus	Philippines	Luzon	False	2006-07-05	ku_gekkonid_tissues.txt
KU	305524	CDS	2098	Cosymbotus	platyurus	Philippines	Luzon	False	2006-07-05	ku_gekkonid_tissues.txt
KU	320406	CDS	3702	Hemidactylus	platyurus	Philippines	Lapinig	False		ku_gekkonid_tissues.txt
KU	320409	CDS	3703	Hemidactylus	platyurus	Philippines	Lapinig	False		ku_gekkonid_tissues.txt
KU	313815	RMB	9693	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2008-06-23	ku_gekkonid_tissues.txt
KU	313814	RMB	9692	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2008-06-23	ku_gekkonid_tissues.txt
KU	314945	RMB	9459	Cyrtodactylus	annulatus	Philippines	Mindanao	True	2008-05-04	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	308141	CDS	2385	Cyrtodactylus	philippinicus	Philippines	Catanduanes	False	2007-02-28	ku_gekkonid_tissues.txt
KU	308140	CDS	2384	Cyrtodactylus	philippinicus	Philippines	Catanduanes	True	2007-02-28	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	328938	ACD	6250	Cyrtodactylus	philippinicus	Philippines	Luzon	False		ku_gekkonid_tissues.txt
KU	305768	CWL	283	Hemidactylus	frenatus	Philippines	Dinagat	False	2006-06-23	ku_gekkonid_tissues.txt
KU	305767	CWL	282	Hemidactylus	frenatus	Philippines	Dinagat	False	2006-06-23	ku_gekkonid_tissues.txt
KU	305772	CWL	287	Hemidactylus	frenatus	Philippines	Dinagat	False	2006-06-23	ku_gekkonid_tissues.txt
KU	305771	CWL	286	Hemidactylus	frenatus	Philippines	Dinagat	False	2006-06-23	ku_gekkonid_tissues.txt
KU	305770	CWL	285	Hemidactylus	frenatus	Philippines	Dinagat	False	2006-06-23	ku_gekkonid_tissues.txt
KU	305769	CWL	284	Hemidactylus	frenatus	Philippines	Dinagat	False	2006-06-23	ku_gekkonid_tissues.txt
KU	303912	RMB	5006	Gekko	mindorensis	Philippines	Mindoro	False	2005-03-12	ku_gekkonid_tissues.txt
KU	303911	RMB	5005	Gekko	mindorensis	Philippines	Mindoro	False	2005-03-12	ku_gekkonid_tissues.txt
KU	305430	ELR	681	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-09-18	ku_gekkonid_tissues.txt
KU	305820	CDS	2274	Hemidactylus	frenatus	Philippines	Luzon	False	2006-07-14	ku_gekkonid_tissues.txt
