catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
LSUHC	2289	LSUHC	2289	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False		LSUHC_geckos.txt
LSUHC	2288	LSUHC	2288	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False		LSUHC_geckos.txt
LSUHC	2601	LSUHC	2601	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False		LSUHC_geckos.txt
LSUHC	4477	LSUHC	4477	Cyrtodactylus	pantiensis	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	2979	LSUHC	2979	Cyrtodactylus	cf. condorensis	Vietnam			Vietnam, Hon Son				False		LSUHC_geckos.txt
LSUHC	2978	LSUHC	2978	Cyrtodactylus	cf. condorensis	Vietnam			Vietnam, Hon Son				False		LSUHC_geckos.txt
LSUHC	4702	LSUHC	4702	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False		LSUHC_geckos.txt
LSUHC	4703	LSUHC	4703	Cyrtodactylus	pulchellus	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False		LSUHC_geckos.txt
LSUHC	2287	LSUHC	2287	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False		LSUHC_geckos.txt
LSUHC	2011	LSUHC	2011	Cyrtodactylus	semenanjungensis	Malaysia			Malaysia, Johor, Gunung Panti				False		LSUHC_geckos.txt
LSUHC	3077	LSUHC	3077	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3076	LSUHC	3076	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3075	LSUHC	3075	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3074	LSUHC	3074	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3073	LSUHC	3073	Cyrtodactylus	sp.	Vietnam			Vietnam, Hon Tre				False		LSUHC_geckos.txt
LSUHC	3072	LSUHC	3072	Cyrtodactylus	intermedius	Vietnam	Phu Quoc		Vietnam, Phu Quoc Island, Suoi Tranh stream				False		LSUHC_geckos.txt
LSUHC	3071	LSUHC	3071	Cyrtodactylus	intermedius	Vietnam	Phu Quoc		Vietnam, Phu Quoc Island, Suoi Tranh stream				False		LSUHC_geckos.txt
LSUHC	3070	LSUHC	3070	Cyrtodactylus	intermedius	Vietnam	Phu Quoc		Vietnam, Phu Quoc Island, Suoi Tranh stream				False		LSUHC_geckos.txt
LSUHC	3396	LSUHC	3396	Cyrtodactylus	chuyangsinensis	Vietnam			Vietnam, Chu Yang Sin National Park				False		LSUHC_geckos.txt
LSUHC	3397	LSUHC	3397	Cyrtodactylus	chuyangsinensis	Vietnam			Vietnam, Chu Yang Sin National Park				False		LSUHC_geckos.txt
LSUHC	3395	LSUHC	3395	Cyrtodactylus	chuyangsinensis	Vietnam			Vietnam, Chu Yang Sin National Park				False		LSUHC_geckos.txt
LSUHC	6070	LSUHC	6070	Cyrtodactylus	intermedius	Cambodia			Cambodia, Pursat Province, near O"Som				False		LSUHC_geckos.txt
LSUHC	6071	LSUHC	6071	Cyrtodactylus	intermedius	Cambodia			Cambodia, Pursat Province, near O"Som				False		LSUHC_geckos.txt
LSUHC	6072	LSUHC	6072	Cyrtodactylus	intermedius	Cambodia			Cambodia, Pursat Province, near O"Som				False		LSUHC_geckos.txt
LSUHC	6073	LSUHC	6073	Cyrtodactylus	intermedius	Cambodia			Cambodia, Pursat Province, near O"Som				False		LSUHC_geckos.txt
LSUHC	4018	LSUHC	4018	Cyrtodactylus	sp.	Cambodia			Cambodia, Kampot Prov., Phnom Laang				True		LSUHC_geckos.txt/gekkonid_lab_work.txt
LSUHC	4019	LSUHC	4019	Cyrtodactylus	sp.	Cambodia			Cambodia, Kampot Prov., Phnom Laang				False		LSUHC_geckos.txt
LSUHC	5141	LSUHC	5141	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol		West Malaysia, Terengganu, Pulau Tenggol				False		LSUHC_geckos.txt
LSUHC	6079	LSUHC	6079	Cyrtodactylus	intermedius	Cambodia			Cambodia, Pursat Province, near O"Som				False		LSUHC_geckos.txt
LSUHC	5142	LSUHC	5142	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol		West Malaysia, Terengganu, Pulau Tenggol				False		LSUHC_geckos.txt
LSUHC	4490	LSUHC	4490	Gekko	monarchus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4491	LSUHC	4491	Gekko	monarchus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4492	LSUHC	4492	Gekko	monarchus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	4493	LSUHC	4493	Gekko	monarchus	West Malaysia			West Malaysia, Johor, Bunker Trail				False		LSUHC_geckos.txt
LSUHC	437	LSUHC	437	Ptychozoon	kuhli	Malaysia			Malaysia, Sarawak, Matang				False		LSUHC_geckos.txt
LSUHC	436	LSUHC	436	Ptychozoon	kuhli	Malaysia			Malaysia, Sarawak, Matang				False		LSUHC_geckos.txt
LSUHC	183	LSUHC	183	Gekko	smithii	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril				False		LSUHC_geckos.txt
LSUHC	435	LSUHC	435	Ptychozoon	kuhli	Malaysia			Malaysia, Sarawak, Matang				False		LSUHC_geckos.txt
LSUHC	185	LSUHC	185	Gekko	smithii	Malaysia	Pulau Tioman		Malaysia, Pahang, Pulau Tioman, Tekek-Juara taril				False		LSUHC_geckos.txt
