catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	tissue_sample.found	tissue_sample.material	tissue_sample.preservative	tissue_sample.tube_data	tissue_sample.notes	extraction.protocol	extraction.rnase	extraction.qubit	extraction.notes	extraction.gel_lane	extraction.plate	extraction.row	extraction.column	extraction.dilution	cam_extract	cam_extract_cell	date	source
KU	313989	RMB	9586	Gekko	porosus	Philippines	Batan	Batanes	Batanes Province; Municipality of Ivana; Barangay Salagao, Sitio Imnadyed			T-287-I6	True	liver	etoh	{}		guanidine thiocyanate	True	38.1		314	3	B	6	5.0	False		2008-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	313988	RMB	9585	Gekko	porosus	Philippines	Batan	Batanes	Batanes Province; Municipality of Ivana; Barangay Salagao, Sitio Imnadyed			T-287-I5	True	liver	etoh	{}		guanidine thiocyanate	True	105.0		313	3	A	6	5.0	False		2008-06-10	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328804	RMB	13669	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, "Sugcad Plaza"	13.4050800	123.6388200	Z-380-I6	True	liver	etoh	{}		guanidine thiocyanate	True	112.0		81	1	H	7	5.0	False		2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302719	CDS	55	Gekko	gigante	Philippines	South Gigante	Visayan	Iloilo Province; Muncipality of Carles; Sitio Antonia, Barangay Gabi			E-74-39	True	liver	etoh	{}		guanidine thiocyanate	True	150.0		232	2	B	10	5.0	False		2000-09-06	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	304938	RMB	6059	Gekko	rossi	Philippines	Calayan	Babuyan Island Group	Cagayan Valley Province; ; Barangay Magsidel, Sitio Longog	19.3310000	121.4390000	H-117-H1	True	liver	etoh	{}		guanidine thiocyanate	True	353.0		336	3	B	8	5.0	False		2006-03-21	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302716	CDS	51	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-35	True	liver	etoh	{}		guanidine thiocyanate	True	540.0		226	2	E	9	5.0	True	F4	2000-09-07	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	305140	CDS	50	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-34	True	liver	etoh	{}		guanidine thiocyanate	True	12.9		225	2	D	9	5.0	False		2004-09-08	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302717	CDS	53	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-37	True	liver	etoh	{}		guanidine thiocyanate	True	139.0		227	2	F	9	5.0	False		2000-09-07	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	304931	RMB	6052	Gekko	rossi	Philippines	Calayan	Babuyan Island Group	Cagayan Valley Province; ; Barangay Magsidel, Sitio Longog	19.3310000	121.4390000	H-117-G3	True	liver	etoh	{}		guanidine thiocyanate	True	231.0		331	3	G	7	5.0	False		2006-03-21	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328802	RMB	13654	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-G9	True	liver	etoh	{}		guanidine thiocyanate	True	186.0		133	1	F	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	330781	CDS	6047	Gekko	mindorensis	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; UPLB Forrestry Campus, Flat Rocks Site (coordinates at Los Banos)	14.1660000	121.2430000	AA-401-C2	True	liver	etoh	{}		guanidine thiocyanate	True	224.0		249	2	A	12	5.0	False		2011-05-16	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	304935	RMB	6056	Gekko	rossi	Philippines	Calayan	Babuyan Island Group	Cagayan Valley Province; ; Barangay Magsidel, Sitio Longog	19.3310000	121.4390000	H-117-G7	True	liver	etoh	{}		guanidine thiocyanate	True	309.0		333	3	H	7	5.0	False		2006-03-21	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	319661	RMB	11746	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9922333	122.0604333	V-324-B6	True	liver	rnalater	{}		guanidine thiocyanate	True	118.0		56	1	F	5	5.0	False		2009-04-10	ku_freezer.txt/ku_gekkonid_tissues.txt
