catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
KU	303909	RMB	4981	Gekko	mindorensis	Philippines	Mindoro
KU	303910	RMB	4982	Gekko	mindorensis	Philippines	Mindoro
KU	303911	RMB	5005	Gekko	mindorensis	Philippines	Mindoro
KU	303912	RMB	5006	Gekko	mindorensis	Philippines	Mindoro
KU	302722	CDS	277	Gekko	mindorensis	Philippines	Negros
KU	302723	CDS	278	Gekko	mindorensis	Philippines	Negros
KU	302724	CDS	279	Gekko	mindorensis	Philippines	Negros
		CDSGS	39	Gekko	mindorensis	Philippines	Negros
		CDSGS	40	Gekko	mindorensis	Philippines	Negros
		CDSGS	41	Gekko	mindorensis	Philippines	Negros
KU	307059	RMB	6425	Gekko	mindorensis	Philippines	Panay
KU	307060	RMB	6429	Gekko	mindorensis	Philippines	Panay
KU	307061	RMB	6430	Gekko	mindorensis	Philippines	Panay
KU	307062	RMB	6431	Gekko	mindorensis	Philippines	Panay
KU	307063	RMB	6448	Gekko	mindorensis	Philippines	Panay
KU	307064	RMB	6449	Gekko	mindorensis	Philippines	Panay
KU	307065	RMB	6479	Gekko	mindorensis	Philippines	Panay
KU	302729	CDS	63	Gekko	mindorensis	Philippines	Panay
KU	302730	CDS	64	Gekko	mindorensis	Philippines	Panay
KU	302731	CDS	65	Gekko	mindorensis	Philippines	Panay
KU	302732	CDS	66	Gekko	mindorensis	Philippines	Panay
KU	309289	RMB	7922	Gekko	monarchus	Philippines	Palawan
KU	309290	RMB	7923	Gekko	monarchus	Philippines	Palawan
KU	309291	RMB	7924	Gekko	monarchus	Philippines	Palawan
KU	309294	RMB	7937	Gekko	monarchus	Philippines	Palawan
KU	309295	RMB	7938	Gekko	monarchus	Philippines	Palawan
LSUHC	4737	LSUHC	4737	Gekko	monarchus	West Malaysia	Pulau Aur
LSUHC	7289	LSUHC	7289	Gekko	monarchus	West Malaysia	Pulau Aur
KU	313983	RMB	9575	Gekko	porosus	Philippines	Batan
KU	313984	RMB	9576	Gekko	porosus	Philippines	Batan
KU	313985	RMB	9578	Gekko	porosus	Philippines	Batan
KU	313986	RMB	9582	Gekko	porosus	Philippines	Batan
KU	313987	RMB	9584	Gekko	porosus	Philippines	Batan
KU	313988	RMB	9585	Gekko	porosus	Philippines	Batan
KU	313989	RMB	9586	Gekko	porosus	Philippines	Batan
KU	313977	RMB	9552	Gekko	porosus	Philippines	Sabtang
KU	313978	RMB	9554	Gekko	porosus	Philippines	Sabtang
KU	313979	RMB	9555	Gekko	porosus	Philippines	Sabtang
KU	313980	RMB	9558	Gekko	porosus	Philippines	Sabtang
KU	313981	RMB	9560	Gekko	porosus	Philippines	Sabtang
KU	313982	RMB	9561	Gekko	porosus	Philippines	Sabtang
KU	302738	CDS	788	Gekko	romblon	Philippines	Romblon
KU	302739	CDS	789	Gekko	romblon	Philippines	Romblon
KU	302740	CDS	790	Gekko	romblon	Philippines	Romblon
KU	302741	CDS	791	Gekko	romblon	Philippines	Romblon
KU	302742	CDS	792	Gekko	romblon	Philippines	Romblon
KU	303977	RMB	5124	Gekko	romblon	Philippines	Romblon
KU	303978	RMB	5125	Gekko	romblon	Philippines	Romblon
KU	315346	RMB	8754	Gekko	romblon	Philippines	Tablas
KU	315347	RMB	8765	Gekko	romblon	Philippines	Tablas
KU	315348	RMB	8789	Gekko	romblon	Philippines	Tablas
KU	304931	RMB	6052	Gekko	rossi	Philippines	Calayan
KU	304934	RMB	6055	Gekko	rossi	Philippines	Calayan
KU	304935	RMB	6056	Gekko	rossi	Philippines	Calayan
KU	304936	RMB	6057	Gekko	rossi	Philippines	Calayan
KU	304937	RMB	6058	Gekko	rossi	Philippines	Calayan
KU	304938	RMB	6059	Gekko	rossi	Philippines	Calayan
KU	304939	RMB	6060	Gekko	rossi	Philippines	Calayan
KU	307046	RMB	6369	Gekko	sp. a	Philippines	Dalupiri
KU	307047	RMB	6370	Gekko	sp. a	Philippines	Dalupiri
KU	307048	RMB	6371	Gekko	sp. a	Philippines	Dalupiri
KU	307049	RMB	6372	Gekko	sp. a	Philippines	Dalupiri
KU	307050	RMB	6373	Gekko	sp. a	Philippines	Dalupiri
KU	307051	RMB	6374	Gekko	sp. a	Philippines	Dalupiri
KU	307052	RMB	6375	Gekko	sp. a	Philippines	Dalupiri
KU	304608	RMB	5728	Gekko	sp. b	Philippines	Camiguin Norte
KU	304609	RMB	5729	Gekko	sp. b	Philippines	Camiguin Norte
KU	304610	RMB	5730	Gekko	sp. b	Philippines	Camiguin Norte
KU	304611	RMB	5731	Gekko	sp. b	Philippines	Camiguin Norte
KU	304617	RMB	5737	Gekko	sp. b	Philippines	Camiguin Norte
KU	304638	RMB	5758	Gekko	sp. b	Philippines	Camiguin Norte
KU	304673	RMB	5793	Gekko	sp. b	Philippines	Camiguin Norte
KU	325830	RMB	13550	Hemidactylus	frenatus	Philippines	Luzon
KU	325831	RMB	13551	Hemidactylus	frenatus	Philippines	Luzon
KU	325832	RMB	13552	Hemidactylus	frenatus	Philippines	Luzon
KU	325833	RMB	13553	Hemidactylus	frenatus	Philippines	Luzon
KU	325834	RMB	13576	Hemidactylus	frenatus	Philippines	Luzon
KU	325835	RMB	13578	Hemidactylus	frenatus	Philippines	Luzon
KU	325836	RMB	13579	Hemidactylus	frenatus	Philippines	Luzon
KU	314002	RMB	9527	Lepidodactylus	balioburius	Philippines	Batan
KU	314003	RMB	9528	Lepidodactylus	balioburius	Philippines	Batan
KU	314004	RMB	9529	Lepidodactylus	balioburius	Philippines	Batan
KU	314005	RMB	9530	Lepidodactylus	balioburius	Philippines	Batan
KU	314006	RMB	9531	Lepidodactylus	balioburius	Philippines	Batan
KU	314007	RMB	9532	Lepidodactylus	balioburius	Philippines	Batan
KU	314008	RMB	9533	Lepidodactylus	balioburius	Philippines	Batan
KU	314012	RMB	9567	Lepidodactylus	balioburius	Philippines	Sabtang
KU	314013	RMB	9568	Lepidodactylus	balioburius	Philippines	Sabtang
KU	314014	RMB	9569	Lepidodactylus	balioburius	Philippines	Sabtang
KU	314015	RMB	9570	Lepidodactylus	balioburius	Philippines	Sabtang
KU	314016	RMB	9571	Lepidodactylus	balioburius	Philippines	Sabtang
