box	cell	catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	date	source
343	C9	KU	323193	RMB	12838	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C9	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
99	H8	KU	302645	CDS	1566	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-H8	False	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt
343	C5	KU	323189	RMB	12834	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C5	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
343	C6	KU	323190	RMB	12835	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C6	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
343	C7	KU	323191	RMB	12836	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C7	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
343	C8	KU	323192	RMB	12837	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-C8	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
322	C5	KU	319657	RMB	11591	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Barangay Tulosa, Sitio Santa Clara, Cabo Negro Outpost	7.1080000	122.1190000	V-322-C5	False	2009-04-08	ku_freezer.txt/ku_gekkonid_tissues.txt
263	H1	KU	326520	RMB	8931	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H1	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
263	H3	KU	326522	RMB	8933	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H3	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
143	E6			PNM/CMNH H	1601	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotobato Province; Municipality of Kiamba; Barangay Banate; Mt Busa; Site 1			J-143-E6	False		ku_freezer.txt
263	H5	KU	326524	RMB	8935	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H5	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
263	H4	KU	326523	RMB	8934	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H4	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
263	H7	KU	326526	RMB	8937	Cyrtodactylus	gubaot	Philippines	Leyte	Mindanao	Leyte Province; Municipality of Baybay; Visayas State University Campus	10.7451667	124.8042833	R-263-H7	False	2008-04-16	ku_freezer.txt/ku_gekkonid_tissues.txt
150	D8	KU	307063	RMB	6448	Gekko	mindorensis	Philippines	Panay	Visayan	Antique Province; Municipality of San Remigio; Barangay Aningalan	10.8088000	122.1013000	K-150-D8	False	2006-10-02	ku_freezer.txt/ku_gekkonid_tissues.txt
109	B5	KU	304636	RMB	5756	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name "Limandok"	18.9292700	121.8988100	H-109-B5	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
109	B6	KU	304637	RMB	5757	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name "Limandok"	18.9292700	121.8988100	H-109-B6	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
109	B3	KU	304634	RMB	5754	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name "Limandok"	18.9292700	121.8988100	H-109-B3	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
109	B4	KU	304635	RMB	5755	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name "Limandok"	18.9292700	121.8988100	H-109-B4	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
75	59	KU	302733	CDS	1461	Gekko	mindorensis	Philippines	Maestre De Campo	Romblon	Romblon Province; Municipality of Concepcion; Barangay San Vicente	12.9155833	121.7248833	E-75-59	True	2001-03-27	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
75	61	KU	302735	CDS	1463	Gekko	mindorensis	Philippines	Maestre De Campo	Romblon	Romblon Province; Municipality of Concepcion; Barangay San Vicente	12.9155833	121.7248833	E-75-61	True	2001-03-27	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
75	60	KU	302734	CDS	1462	Gekko	mindorensis	Philippines	Maestre De Campo	Romblon	Romblon Province; Municipality of Concepcion; Barangay San Vicente	12.9155833	121.7248833	E-75-60	True	2001-03-27	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
397	C7	KU	330796	CDS	5727	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.1335600	121.2044700	AA-397-C7	False	2011-05-10	ku_freezer.txt/ku_gekkonid_tissues.txt
397	C5	KU	331667	CDS	5724	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.1335600	121.2044700	AA-397-C5	False	2011-05-09	ku_freezer.txt/ku_gekkonid_tissues.txt
109	H9	KU	304690	RMB	5811	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name "Limandok"	18.9292700	121.8988100	H-109-H9	False	2006-03-09	ku_freezer.txt/ku_gekkonid_tissues.txt
149	D7	KU	307046	RMB	6369	Gekko	sp. a	Philippines	Dalupiri	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Nipa Creek	19.1020000	121.2230000	J-149-D7	False	2006-09-13	ku_freezer.txt/ku_gekkonid_tissues.txt
404	F2	KU	329532	RMB	14249	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.4380000	120.8780000	AA-404-F2	False	2011-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
404	F1	KU	329531	RMB	14248	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.4380000	120.8780000	AA-404-F1	False	2011-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
66	54	KU	302677	CDS	607	Gekko	mindorensis	Philippines	Caluya	Visayan	Antique Province; Municipality of Caluya; Barangay Poblacion			E-66-54	True	2000-11-14	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
