plate	row	col	qubit	catalog_series	catalog_number	field_series	field_number
3	C	9	264	KU	304610	RMB	5730
3	D	9	102	KU	304617	RMB	5737
3	E	9	365	KU	304673	RMB	5793
3	F	9	12.4	KU	325831	RMB	13551
3	G	9	341	KU	325832	RMB	13552
3	H	9	27	KU	325833	RMB	13553
3	A	10	15.4	KU	325836	RMB	13579
3	B	10	183	KU	314003	RMB	9528
3	C	10	323	KU	314004	RMB	9529
3	D	10	75.6	KU	314005	RMB	9530
3	E	10	168	KU	314006	RMB	9531
3	F	10	351	KU	314008	RMB	9533
3	G	10	36.5	KU	314012	RMB	9567
3	H	10	88.7	KU	314013	RMB	9568
3	A	11	358	KU	314015	RMB	9570
3	B	11	26.8	KU	314018	RMB	9574
3	C	11	305	KU	304824	RMB	5945
3	D	11	168	KU	304828	RMB	5949
3	E	11	158	KU	304834	RMB	5955
3	F	11	261	KU	304846	RMB	5967
3	G	11	42.2	KU	304850	RMB	5971
3	H	11	17.7	KU	307641	RMB	6314
3	A	12	14.7	KU	307644	RMB	6317
3	B	12	12	KU	307645	RMB	6318
3	C	12	15	KU	307646	RMB	6319
3	D	12	200	KU	307647	RMB	6320
3	E	12	89.2	LSUHC	5042	LSUHC	5042
3	F	12	28.4			NOSERIES	3835
3	G	12	186			NOSERIES	4679
3	H	12	41.6			NOSERIES	6433
