field_series	field_number	genus	epithet	country	island	paic
LSUHC	3066	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3055	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3054	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3057	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3056	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3053	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3052	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3059	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3060	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3062	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	3063	Cyrtodactylus	hontreensis	Vietnam		
LSUHC	6070	Cyrtodactylus	intermedius	Cambodia		
LSUHC	6072	Cyrtodactylus	intermedius	Cambodia		
LSUHC	6073	Cyrtodactylus	intermedius	Cambodia		
LSUHC	6079	Cyrtodactylus	intermedius	Cambodia		
LSUHC	6069	Cyrtodactylus	intermedius	Cambodia		
LSUHC	6071	Cyrtodactylus	intermedius	Cambodia		
LSUHC	3068	Cyrtodactylus	intermedius	Vietnam	Phu Quoc	
LSUHC	3069	Cyrtodactylus	intermedius	Vietnam	Phu Quoc	
LSUHC	3072	Cyrtodactylus	intermedius	Vietnam	Phu Quoc	
LSUHC	3071	Cyrtodactylus	intermedius	Vietnam	Phu Quoc	
LSUHC	3070	Cyrtodactylus	intermedius	Vietnam	Phu Quoc	
RMB	11712	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11747	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11746	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11745	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11670	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11591	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11404	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11321	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11303	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	11297	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10492	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10493	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10494	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10495	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10267	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10266	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10298	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10299	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10300	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10301	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10302	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10303	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10084	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10245	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10246	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10259	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10260	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10173	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10003	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10050	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10051	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10006	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10005	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	10004	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9223	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9207	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9195	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9143	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9142	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9141	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9145	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9144	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9139	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9196	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9120	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9086	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9087	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9084	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9085	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
RMB	9088	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao
