divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,0,1	0.0083	nan	0:2.07942548044[&age_median=2.07942548044,age_mean=2.06821096138,age_n=83,age_range={0.02312979602,5.66599351375},age_hpdi_95={0.02312979602,4.73929334848},age_qi_95={0.0967438158485,5.02661247643}],1:1.86398045031[&age_median=1.86398045031,age_mean=2.38646827263,age_n=83,age_range={0.00940377859,7.69134513923},age_hpdi_95={0.00940377859,6.24924919231},age_qi_95={0.203592361578,6.54434222961}],2:3.68119873692[&age_median=3.68119873692,age_mean=4.15393392495,age_n=83,age_range={0.09832999054,11.0050858516},age_hpdi_95={0.09832999054,9.14241747501},age_qi_95={0.163273935974,9.43232218581}]
0,1,2,0,0	0.0083	nan	0:1.68384127326[&age_median=1.68384127326,age_mean=1.77813312084,age_n=83,age_range={0.02746827069,5.49017592869},age_hpdi_95={0.02746827069,3.91087847459},age_qi_95={0.128901248896,4.2037079475}],1:3.23814169959[&age_median=3.23814169959,age_mean=3.80222457141,age_n=83,age_range={0.03434896425,10.226479346},age_hpdi_95={0.16531625918,8.64289677855},age_qi_95={0.183510230509,8.80558763522}],2:3.26577252391[&age_median=3.26577252391,age_mean=3.85601499571,age_n=83,age_range={0.04229160231,11.960838821},age_hpdi_95={0.04229160231,8.35993904221},age_qi_95={0.0552014147415,8.74809218226}]
0,1,2,2,1	0.0082	nan	0:2.91965119654[&age_median=2.91965119654,age_mean=3.54329367059,age_n=82,age_range={0.15645665036,11.9578170328},age_hpdi_95={0.15645665036,8.94838272747},age_qi_95={0.26033343163,10.1205886452}],1:1.63927152964[&age_median=1.63927152964,age_mean=2.03977576623,age_n=82,age_range={0.0540358617,7.66761441564},age_hpdi_95={0.0540358617,4.5378201033},age_qi_95={0.150799068933,4.93246526021}],2:2.63000148903[&age_median=2.63000148903,age_mean=2.87329694045,age_n=82,age_range={0.00165957054,8.82051458723},age_hpdi_95={0.00165957054,6.16521272749},age_qi_95={0.099882626163,6.87553033724}]
0,1,1,2,2	0.0081	nan	0:3.71277818881[&age_median=3.71277818881,age_mean=4.17028516532,age_n=81,age_range={0.15476013276,10.9210618212},age_hpdi_95={0.15476013276,9.48356219387},age_qi_95={0.4328155967,9.77046073046}],1:2.11376308467[&age_median=2.11376308467,age_mean=2.26940466592,age_n=81,age_range={0.03103267802,6.59989694224},age_hpdi_95={0.03103267802,5.56865172211},age_qi_95={0.10459022449,5.9504157595}],2:2.25579189222[&age_median=2.25579189222,age_mean=2.56860552793,age_n=81,age_range={0.12042333084,6.92388056266},age_hpdi_95={0.12042333084,6.06717816793},age_qi_95={0.16470632116,6.13041257002}]
0,0,1,2,1	0.0081	nan	0:2.50227203155[&age_median=2.50227203155,age_mean=2.46028613587,age_n=81,age_range={0.12771972715,7.02452525296},age_hpdi_95={0.12771972715,4.91082270864},age_qi_95={0.14524052584,5.12527024047}],1:2.47234310964[&age_median=2.47234310964,age_mean=2.76629123291,age_n=81,age_range={0.00439434871,7.80251174812},age_hpdi_95={0.00439434871,5.76955324902},age_qi_95={0.05677972649,6.1184223318}],2:3.41888104732[&age_median=3.41888104732,age_mean=3.97197096023,age_n=81,age_range={0.01809353728,10.5934865267},age_hpdi_95={0.01809353728,9.61325754889},age_qi_95={0.07908324856,10.08043273}]
0,0,1,2,2	0.0081	nan	0:2.14058077382[&age_median=2.14058077382,age_mean=2.53866167483,age_n=81,age_range={0.0361495852,7.65756419091},age_hpdi_95={0.0361495852,6.081126502},age_qi_95={0.06288881487,6.13974448664}],1:3.47243488522[&age_median=3.47243488522,age_mean=3.74789240289,age_n=81,age_range={0.02006843369,10.7478440405},age_hpdi_95={0.18220350429,7.38983389643},age_qi_95={0.20307102032,8.01176691877}],2:1.85991921647[&age_median=1.85991921647,age_mean=2.42268434714,age_n=81,age_range={0.02236107643,7.85802292891},age_hpdi_95={0.02236107643,6.2419792228},age_qi_95={0.04256064606,6.74289199517}]
0,1,2,0,2	0.008	nan	0:2.55698649795[&age_median=2.55698649795,age_mean=2.68947509803,age_n=80,age_range={0.00719154961,8.25422337672},age_hpdi_95={0.00719154961,5.56751856008},age_qi_95={0.061908405993,6.63363155514}],1:3.60694435361[&age_median=3.60694435361,age_mean=3.94626768991,age_n=80,age_range={0.17883171882,10.8165654096},age_hpdi_95={0.17883171882,8.41646426036},age_qi_95={0.267526372673,9.13009812541}],2:2.01830867362[&age_median=2.01830867362,age_mean=2.22583255978,age_n=80,age_range={0.02654039266,7.95957418378},age_hpdi_95={0.02654039266,5.27041432093},age_qi_95={0.198177107866,6.10060356884}]
0,1,0,2,0	0.0078	nan	0:1.55913653779[&age_median=1.55913653779,age_mean=1.74928254079,age_n=78,age_range={0.03045269438,5.05849032244},age_hpdi_95={0.03045269438,4.07592399157},age_qi_95={0.132926784318,4.3574570851}],1:3.04285710985[&age_median=3.04285710985,age_mean=3.87578749868,age_n=78,age_range={0.15736476617,11.6993745522},age_hpdi_95={0.15736476617,9.0859112866},age_qi_95={0.330703024939,10.3226721968}],2:4.16242034564[&age_median=4.16242034564,age_mean=4.56406331367,age_n=78,age_range={0.02579716541,12.1766556944},age_hpdi_95={0.02579716541,10.0980055161},age_qi_95={0.0819135758228,10.1642676301}]
0,1,1,0,2	0.0078	nan	0:2.0244789658[&age_median=2.0244789658,age_mean=2.20559248833,age_n=78,age_range={0.00157594999,7.72052627858},age_hpdi_95={0.00157594999,6.18471113178},age_qi_95={0.0255256798687,6.42898289838}],1:2.56714773397[&age_median=2.56714773397,age_mean=2.60311245648,age_n=78,age_range={0.00653850255,6.56536151245},age_hpdi_95={0.00653850255,5.39925426496},age_qi_95={0.114259406194,6.03648559709}],2:3.7867698015[&age_median=3.7867698015,age_mean=4.50255800347,age_n=78,age_range={0.04707578554,10.1466018097},age_hpdi_95={0.04707578554,9.62751629102},age_qi_95={0.31084226408,9.98056263761}]
0,1,0,0,2	0.0077	nan	0:1.40722667804[&age_median=1.40722667804,age_mean=1.78148388065,age_n=77,age_range={0.07803195003,4.83209193685},age_hpdi_95={0.07803195003,4.1580657085},age_qi_95={0.117626404387,4.35217041176}],1:3.70442944034[&age_median=3.70442944034,age_mean=3.80782181581,age_n=77,age_range={0.02183208392,11.5623028072},age_hpdi_95={0.02183208392,8.24414467879},age_qi_95={0.040766964937,8.56901477896}],2:3.31189563209[&age_median=3.31189563209,age_mean=3.7783270632,age_n=77,age_range={0.4118116494,11.7060060115},age_hpdi_95={0.47090094669,9.32062405781},age_qi_95={0.564768282879,9.36460940309}]
