taxa	H	E
CDS_5822_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00653965	0.0013683	
RMB_5905_Cyrtodactylus_philippinicus_BabuyanClaro.trimmed	0.00459413	0.00128906	
RMB_6332_Cyrtodactylus_philippinicus_Polillo.trimmed	0.0058328	0.00042255	
RMB_9567_Lepidodactylus_balioburius_Sabtang.trimmed	0.00393779	0.00022473	
RMB_7650_Cyrtodactylus_tautbatorum_Palawan.trimmed	0.00553027	0.00032304	
RMB_9745_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00588412	0.00140459	
CDS_6051_Gekko_mindorensis_Luzon.trimmed	0.00413418	0.00039122	
RMB_9560_Gekko_porosus_Sabtang.trimmed	0.00335357	0.00034152	
CDS_2967_Cyrtodactylus_sumuroi_Samar.trimmed	0.00701731	0.00034362	
RMB_14453_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00472896	0.00140981	
CDS_1463_Gekko_mindorensis_MaestreDeCampo.trimmed	0.00312635	0.00026038	
CDS_3867_Gekko_mindorensis_Lubang.trimmed	0.00389963	0.00031812	
RMB_13657_Gekko_mindorensis_Luzon.trimmed	0.00368405	0.00041825	
CDS_1462_Gekko_mindorensis_MaestreDeCampo.trimmed	0.00313768	0.00023766	
CDS_3932_Cyrtodactylus_philippinicus_Lubang.trimmed	0.00472628	0.00117138	
CDS_3866_Gekko_mindorensis_Lubang.trimmed	0.00400803	0.00037028	
RMB_5811_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	0.0040848	0.00119383	
RMB_12582_Gehyra_mutilata_Luzon.trimmed	0.00561798	0.00029684	
RMB_9568_Lepidodactylus_balioburius_Sabtang.trimmed	0.004202	0.00026878	
RMB_6448_Gekko_mindorensis_Panay.trimmed	0.00328219	0.00023196	
RMB_13661_Gekko_mindorensis_Luzon.trimmed	0.0040337	0.00038167	
RMB_7798_Gekko_athymus_Palawan.trimmed	0.00451921	0.00039302	
RMB_9533_Lepidodactylus_balioburius_Batan.trimmed	0.00379987	0.00023316	
RMB_12837_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00681108	0.00124725	
RMB_5184_Cyrtodactylus_philippinicus_Sibuyan.trimmed	0.00445185	0.00034496	
RMB_13767_Gekko_gecko_Luzon.trimmed	0.00522275	0.00047388	
RMB_11309_Cyrtodactylus_annulatus_Mindanao.trimmed	0.01562387	0.00549816	
RMB_5955_Luperosaurus_macgregori_BabuyanClaro.trimmed	0.00564434	0.00026286	
RMB_8765_Gekko_romblon_Tablas.trimmed	0.00421827	0.00026244	
RMB_6056_Gekko_rossi_Calayan.trimmed	0.00282431	0.00025848	
RMB_5754_Cyrtodactylus_philippinicus_CamiguinNorte.trimmed	0.00427103	0.00112999	
CDS_5724_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00600675	0.00114425	
RMB_12836_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00689424	0.00117317	
RMB_6260_Cyrtodactylus_philippinicus_Polillo.trimmed	0.00536243	0.00035145	
RMB_5953_Gekko_crombota_BabuyanClaro.trimmed	0.00367854	0.0003635	
RMB_8043_Cyrtodactylus_annulatus_CamiguinSur.trimmed	0.0051627	0.00092761	
RMB_6449_Gekko_mindorensis_Panay.trimmed	0.00346798	0.00025704	
RMB_13669_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00589254	0.00125786	
CDS_55_Gekko_gigante_SouthGigante.trimmed	0.0044782	0.00037516	
CDS_63_Gekko_mindorensis_Panay.trimmed	0.00431029	0.00022555	
