catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
LSUHC	4455	LSUHC	4455	Cyrtodactylus	quadrivirgatus	West Malaysia	
LSUHC	4456	LSUHC	4456	Cyrtodactylus	quadrivirgatus	West Malaysia	
LSUHC	4779	LSUHC	4779	Cyrtodactylus	quadrivirgatus	West Malaysia	
LSUHC	5767	LSUHC	5767	Cyrtodactylus	quadrivirgatus	West Malaysia	
LSUHC	5776	LSUHC	5776	Cyrtodactylus	quadrivirgatus	West Malaysia	
LSUHC	2011	LSUHC	2011	Cyrtodactylus	semenanjungensis	Malaysia	
LSUHC	4450	LSUHC	4450	Cyrtodactylus	semenanjungensis	West Malaysia	
LSUHC	4451	LSUHC	4451	Cyrtodactylus	semenanjungensis	West Malaysia	
LSUHC	4452	LSUHC	4452	Cyrtodactylus	semenanjungensis	West Malaysia	
LSUHC	4453	LSUHC	4453	Cyrtodactylus	semenanjungensis	West Malaysia	
LSUHC	1514	LSUHC	1514	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi
LSUHC	1515	LSUHC	1515	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi
LSUHC	1516	LSUHC	1516	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi
LSUHC	1517	LSUHC	1517	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi
LSUHC	1518	LSUHC	1518	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi
LSUHC	7	LSUHC	7	Cyrtodactylus	seribuatensis	Malaysia	Pulau Nangka Kecil
LSUHC	8	LSUHC	8	Cyrtodactylus	seribuatensis	Malaysia	Pulau Nangka Kecil
LSUHC	4017	LSUHC	4017	Cyrtodactylus	sp.	Cambodia	
LSUHC	4018	LSUHC	4018	Cyrtodactylus	sp.	Cambodia	
LSUHC	4019	LSUHC	4019	Cyrtodactylus	sp.	Cambodia	
LSUHC	4020	LSUHC	4020	Cyrtodactylus	sp.	Cambodia	
LSUHC	4021	LSUHC	4021	Cyrtodactylus	sp.	Cambodia	
LSUHC	3172	LSUHC	3172	Cyrtodactylus	sp.	Vietnam	
LSUHC	3173	LSUHC	3173	Cyrtodactylus	sp.	Vietnam	
LSUHC	3174	LSUHC	3174	Cyrtodactylus	sp.	Vietnam	
LSUHC	3175	LSUHC	3175	Cyrtodactylus	sp.	Vietnam	
LSUHC	3176	LSUHC	3176	Cyrtodactylus	sp.	Vietnam	
LSUHC	3073	LSUHC	3073	Cyrtodactylus	sp.	Vietnam	
LSUHC	3074	LSUHC	3074	Cyrtodactylus	sp.	Vietnam	
LSUHC	3075	LSUHC	3075	Cyrtodactylus	sp.	Vietnam	
LSUHC	3076	LSUHC	3076	Cyrtodactylus	sp.	Vietnam	
LSUHC	3077	LSUHC	3077	Cyrtodactylus	sp.	Vietnam	
LSUHC	5867	LSUHC	5867	Cyrtodactylus	sworderi	West Malaysia	
LSUHC	5870	LSUHC	5870	Cyrtodactylus	sworderi	West Malaysia	
LSUHC	5871	LSUHC	5871	Cyrtodactylus	sworderi	West Malaysia	
LSUHC	5872	LSUHC	5872	Cyrtodactylus	sworderi	West Malaysia	
LSUHC	5875	LSUHC	5875	Cyrtodactylus	sworderi	West Malaysia	
LSUHC	5621	LSUHC	5621	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman
LSUHC	5630	LSUHC	5630	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman
LSUHC	5631	LSUHC	5631	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman
LSUHC	5632	LSUHC	5632	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman
LSUHC	5633	LSUHC	5633	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman
LSUHC	1019	LSUHC	1019	Gekko	monarchus	Malaysia	Pulau Aur
LSUHC	1020	LSUHC	1020	Gekko	monarchus	Malaysia	Pulau Aur
