Cat. No.	Species	Locality	
1171	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1172	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1173	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1174	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1175	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1176	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1177	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1178	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1179	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
1180	Cyrtodactylus intermedius	"Cambodia, Pursat Province, Phnom Aural"	
2989	Cyrtodactylus intermedius	"Cambodia, Pursat, O'Lakmeas"	
3068	Cyrtodactylus intermedius	"Vietnam, Phu Quoc Island, Suoi Tranh stream"	
3069	Cyrtodactylus intermedius	"Vietnam, Phu Quoc Island, Suoi Tranh stream"	
3070	Cyrtodactylus intermedius	"Vietnam, Phu Quoc Island, Suoi Tranh stream"	
3071	Cyrtodactylus intermedius	"Vietnam, Phu Quoc Island, Suoi Tranh stream"	
3072	Cyrtodactylus intermedius	"Vietnam, Phu Quoc Island, Suoi Tranh stream"	
5079	Cyrtodactylus intermedius	"Cambodia, Pursat province, Phnom Dalai"	
5080	Cyrtodactylus intermedius	"Cambodia, Pursat province, Phnom Dalai"	
5081	Cyrtodactylus intermedius	"Cambodia, Pursat province, Phnom Dalai"	
6069	Cyrtodactylus intermedius	"Cambodia, Pursat Province, near O""Som"	
6070	Cyrtodactylus intermedius	"Cambodia, Pursat Province, near O""Som"	
6071	Cyrtodactylus intermedius	"Cambodia, Pursat Province, near O""Som"	
6072	Cyrtodactylus intermedius	"Cambodia, Pursat Province, near O""Som"	
6073	Cyrtodactylus intermedius	"Cambodia, Pursat Province, near O""Som"	
6079	Cyrtodactylus intermedius	"Cambodia, Pursat Province, near O""Som"	
6080	Cyrtodactylus intermedius	"Cambodia, Pursat Province, near O""Som"	
6336	Cyrtodactylus intermedius	"Cambodia, Koh Rong"	
6337	Cyrtodactylus intermedius	"Cambodia, Koh Rong"	
5135	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
5136	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
5137	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
5138	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
5139	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
5140	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
5141	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
5142	Cyrtodactylus leegrismeri	"West Malaysia, Terengganu, Pulau Tenggol"	
6318	Cyrtodactylus lekaguli	"Thailand, Satun Province, La-ngu"	
6325	Cyrtodactylus lekaguli	"Thailand, Krabi Province, Krabi"	
6326	Cyrtodactylus lekaguli	"Thailand, Krabi Province, Krabi"	
6327	Cyrtodactylus lekaguli	"Thailand, Surt Thani Province, Ban Nasan District, Khamin Cave"	
4668	Cyrtodactylus macrotuberculatus	"West Malaysia, Kedah, base of Gunung Jerai"	
5190	Cyrtodactylus macrotuberculatus	"West Malaysia, Kedah, Pulau Langkawi, Gunung Raya"	
5191	Cyrtodactylus macrotuberculatus	"West Malaysia, Kedah, Pulau Langkawi, Gunung Raya"	
5198	Cyrtodactylus macrotuberculatus	"West Malaysia, Kedah, Pulau Langkawi"	
5343	Cyrtodactylus macrotuberculatus	"Malaysia, Kedah, Sungai Pachat"	
6321	Cyrtodactylus macrotuberculatus	"Thailand, Phuket Island"	
6322	Cyrtodactylus macrotuberculatus	"Thailand, Songkhla"	
6323	Cyrtodactylus macrotuberculatus	"Malaysia, Kedah, Ulu Muda"	
6324	Cyrtodactylus macrotuberculatus	"Thailand, Satun Province, La-ngu"	
6111	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6112	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6307	Cyrtodactylus majula	"Singapore, Rifle range"	
6308	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6309	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6310	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6311	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6312	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6313	Cyrtodactylus majula	"Singapore, Nee Soon Swamp"	
6315	Cyrtodactylus majula	"Singapore, Pulau Tekong"	
5229	Cyrtodactylus oldhami	"Thailand, Chumpon, Pathio"	
5230	Cyrtodactylus oldhami	"Thailand, Chumpon, Pathio"	
5231	Cyrtodactylus oldhami	"Thailand, Chumpon, Pathio"	
5232	Cyrtodactylus oldhami	"Thailand, Chumpon, Pathio"	
6267	Cyrtodactylus panchorensis	"Malaysia, Penang, Panchor"	
6268	Cyrtodactylus panchorensis	"Malaysia, Penang, Panchor"	
4469	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4470	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4471	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4472	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4473	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4474	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4475	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4476	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4477	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4478	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
4479	Cyrtodactylus pantiensis	"West Malaysia, Johor, Bunker Trail"	
5082	Cyrtodactylus paradoxus	"Vietnam, Hon Chong"	
410	Cyrtodactylus pubisulcus	"Malaysia, Sarawak, Matang"	
411	Cyrtodactylus pubisulcus	"Malaysia, Sarawak, Matang"	
4888	Cyrtodactylus pubisulcus	"East Malaysia, Sarawak, Gunung Gading"	
4889	Cyrtodactylus pubisulcus	"East Malaysia, Sarawak, Gunung Gading"	
47	Cyrtodactylus pulchellus	"Malaysia, Selangor, Genting Highlands"	
48	Cyrtodactylus pulchellus	"Malaysia, Selangor, Genting Highlands"	
49	Cyrtodactylus pulchellus	"Malaysia, Selangor, Genting Highlands"	
123	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, Lubuk Semilang"	
124	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, Lubuk Semilang"	
1454	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1455	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1456	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1457	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1458	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1459	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1460	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1461	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1462	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
1463	Cyrtodactylus pulchellus	"Malaysia, Kedah, Pulau Langkawi, at bridge on rd. to Gunung Raya"	
2602	Cyrtodactylus pulchellus	"Malaysia, Pahang, Fraser's Hill"	
2603	Cyrtodactylus pulchellus	"Malaysia, Pahang, Fraser's Hill"	
2604	Cyrtodactylus pulchellus	"Malaysia, Pahang, Fraser's Hill"	
2605	Cyrtodactylus pulchellus	"Malaysia, Pahang, Fraser's Hill"	
4182	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi"	
4183	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi"	
4241	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
4242	Cyrtodactylus pulchellus	"West Malaysia, Perlis, Kuala Perlis"	
4468	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
4694	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi"	
4695	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi"	
4702	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi"	
4703	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi"	
4720	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
4721	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
4758	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
4759	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
4780	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
4994	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
5176	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
5177	Cyrtodactylus pulchellus	"West Malaysia, Perak, Bukit Larut"	
5194	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi, Wat Wanraram"	
5195	Cyrtodactylus pulchellus	"West Malaysia, Kedah, Pulau Langkawi, Wat Wanraram"	
5345	Cyrtodactylus pulchellus	"Malaysia, Penang, Pulau Pinang, Botanical Gardens"	
5357	Cyrtodactylus pulchellus	"Malaysia, Perak, Bukit Larut"	
5358	Cyrtodactylus pulchellus	"Malaysia, Perak, Bukit Larut"	
5758	Cyrtodactylus pulchellus	"West Malaysia, Penang, Pulau Pinang, Air Terjun Kadawang"	
5890	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
5891	Cyrtodactylus pulchellus	"West Malaysia, Pahang, Cameron Highlands"	
