field_series	field_number	catalog_series	catalog_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
RMB	11747	KU	319662	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	"Zamboanga City ""Province""; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River"	6.9922333	122.0604333	V-324-B7	False	2009-04-10	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8416	KU	310112	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)	10.3436833	125.6181167	Q-243-G7	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8417	KU	310098	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)	10.3436833	125.6181167	Q-243-G8	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8418	KU	310099	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)	10.3436833	125.6181167	Q-243-G9	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8427	KU	310100	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)	10.3436833	125.6181167	Q-243-H9	False	2007-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8436	KU	310101	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)	10.3436833	125.6181167	Q-243-I9	False	2007-08-03	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8444	KU	310102	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)	10.3436833	125.6181167	Q-244-A8	False	2007-08-04	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8445	KU	310103	Cyrtodactylus	mamanwa	Philippines	Dinagat	Mindanao	Dinagat Islands Province; Municipality of Loreto; Barangay Santiago, sitio Cambinlia (Sudlon)	10.3436833	125.6181167	Q-244-A9	False	2007-08-04	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5905	KU	304784	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro, Local Name ""Asked"""			H-111-A3	True	2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	5906	KU	304785	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro, Local Name ""Asked"""			H-111-A4	False	2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5907	KU	304786	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro, Local Name ""Asked"""			H-111-A5	True	2006-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
RMB	5754	KU	304634	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.92927	121.89881	H-109-B3	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5755	KU	304635	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.92927	121.89881	H-109-B4	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5756	KU	304636	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.92927	121.89881	H-109-B5	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5757	KU	304637	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.92927	121.89881	H-109-B6	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5791	KU	304671	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.92927	121.89881	H-109-F7	False	2006-03-07	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5792	KU	304672	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.92927	121.89881	H-109-F8	False	2006-03-08	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	5811	KU	304690	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte	Babuyan Island Group	"Cagayan Province; Municipality of Calayan; Barangay Balatabat, Local Name ""Limandok"""	18.92927	121.89881	H-109-H9	False	2006-03-09	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3751	KU	320346	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.79995	120.16393	U-311-C1	False		ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3752	KU	320347	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.79995	120.16393	U-311-C2	False		ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3781	KU	320348	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.79995	120.16393	U-311-F1	False		ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3793	KU	320349	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.79995	120.16393	U-311-G4	False		ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3869	KU	320350	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.79995	120.16393	U-312-F9	False		ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	3932	KU	320351	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.79995	120.16393	U-313-D8	False		ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13669	KU	328804	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.40508	123.63882	Z-380-I6	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13670	KU	328805	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.40508	123.63882	Z-380-I7	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13713	KU	328806	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.40508	123.63882	Z-381-E5	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13719	KU	328807	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.40508	123.63882	Z-381-F2	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13720	KU	328808	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.40508	123.63882	Z-381-F3	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	13721	KU	328809	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	"Albay Province; Municipality of Malinao; Barangay Sugcad, Sitio Kumagingking, ""Sugcad Plaza"""	13.40508	123.63882	Z-381-F4	False	2011-01-05	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	12790	KU	323188	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.68	121.529	U-310-G6	False	2009-06-12	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	12834	KU	323189	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.68	121.529	W-343-C5	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	12835	KU	323190	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.68	121.529	W-343-C6	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	12836	KU	323191	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.68	121.529	W-343-C7	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
